,Expert,Institution
2148,Cori Bargmann,Rockefeller University
2149,Francis Collins,National Institutes of Health
2150,Paul Gronke,Reed College
2151,Daniel Dennett,Tufts University
2152,Natalie Foster,Institute for Future
2153,Hempstead N. Y.,Hofstra University
2154,Brendan Nyhan,Dartmouth College
2155,U. S.,University of Oxford
2156,Carmen Lopez,College Horizons
2157,Carmen Lopez,College Horizons
2158,George Koob,National Institute of Alcohol Abuse
2159,Chapel Hill,University of North Carolina
2160,John Pfaff,Fordham University
2161,Mingxiong Huang,University of California
2162,Brendan Nyhan,Dartmouth College
2163,Jason Reifler,Dartmouth College
2164,Lucas Graves,University of Wisconsin
2165,Robert Launay,Northwestern University
2166,Al Gore,University of Miami
2167,Bradley Staats,University of North Carolina
2168,José María Gómez,University of Granada
2169,S. Janakarajan,Madras Institute of Development Studies
2170,Damien Costa,University of Poitiers
2171,NPR Ed,American Enterprise Institute
2172,Michael Kimmel,Stony Brook University
2173,Jennifer Lawless,American University
2174,Tamar Hermann,Israel Democracy Institute
2175,Uttam Pudasaini,Kathmandu University
2176,Dean Baquet,Harvard University
2177,Szabolcs Pogonyi,Central European University
2178,George Rebok,Johns Hopkins University
2179,Aparna Mathur,American Enterprise Institute
2180,Monica Dus,University of Michigan
2181,Juliet Davidow,Harvard University
2182,Erik Gordon,University of Michigan
2183,Bingham Fellowship,Barnard College of Columbia University
2184,Lorna Bracewell,University of Nebraska
2185,Michael Salamone,Washington State University
2186,Ruth Milkman,City University of New York
2187,Glenn Morris,Emerging Pathogen Institute
2188,Robert Tesh,Institute for Human Infections and Immunity
2189,Anthony Fauci,National Institute of Allergy and Infectious Diseases
2190,Donald Trump,Johnson C. Smith University
2191,Hillary Clinton,Washington University
2192,Chuck Penson,University of Arizona
2193,David Gerdes,University of Michigan
2194,Jerry Falwell,Liberty University
2195,Jonathan Ludwig,Liberty University
2196,Sean Wilentz,Princeton University
2197,Richard Gowan,New York University Center on International Cooperation
2198,Matthew Kenworthy,University of Leiden
2199,Christopher Conselice,University of Nottingham
2200,Current Biology,Cornell University
2201,Paul Hunt,University of Leicester
2202,Audie Cornish,Princeton University
2203,Robert Siegel,University of Tennessee
2204,Jennifer Furin,Case Western University
2205,Francis Crick,Francis Crick Institute
2206,Dan Wallach,Rice University
2207,Walter Mebane,Electoral College
2208,Marc Hetherington,Vanderbilt University
2209,John Deskins,West Virginia University
2210,Bradley Wilson,West Virginia University
2211,Elliott Associates,Loyola Marymount University
2212,Alan Cooper,University of Adelaide
2213,Arthur Levine,Teachers College
2214,Tomos Proffitt,Oxford University
2215,John Shea,Stony Brook University
2216,Jill Lepore,Harvard University
2217,George Washington,George Washington University
2218,Amy McGuire,Baylor College of Medicine
2219,Michael Siegel,Boston University School of Public Health
2220,William Dietz,George Washington University
2221,Tian Li,Beijing University
2222,Tian Li,Beijing University
2223,Robert Freedman,University of Colorado
2224,Steve Zeisel,University of North Carolina
2225,John Fea,Messiah College
2226,Jerry Falwell Jr.,Liberty University
2227,Gary Taylor,Florida State University
2228,John Jowett,Florida State University
2229,Terri Bourus,Indiana University
2230,Gabriel Egan,Indiana University
2231,Sophie van der,Free University of Amsterdam
2232,Jeffrey Karp,University of Minnesota
2233,Dindo Manhit,Albert Del Rosario Institute
2234,N. J. ”,Cooper University Health Care
2235,Peter Ungar,University of Arkansas
2236,Matt Sponheimer,University of Colorado
2237,Pinar Yanardag,Massachusetts Institute of Technology
2238,Robin Boylorn,University of Alabama
2239,Joe Fewsmith,Boston University
2240,Zhuang Deshui,Beijing University
2241,Joe Fewsmith,Boston University
2242,Christine Curry,University of Miami
2243,Phil Tiemeyer,Kansas State University
2244,Harold Trinkunas,Stanford University
2245,Alex Liu,University of Cambridge
2246,Martin Brasier,University of Oxford
2247,Lawrence Witmer,Ohio University
2248,John Fa,Manchester Metropolitan University
2249,David Shields,University of South Carolina
2250,Justin Wolfers,University of Michigan
2251,Michael Ngadi,McGill University
2252,C. S. Mott,University of Michigan
2253,Crick Lund,University of Capetown
2254,Stephen Vladeck,University of Texas
2255,Joe Hibbeln,National Institutes of Health
2256,Gavin Gibbons,National Fisheries Institute
2257,Simone Schaner,Dartmouth University
2258,Randa Slim,Middle East Institute
2259,Philip Zimbardo,Stanford University
2260,Bernard Harcourt,Columbia University
2261,Tyler Lattimore,Emory University
2262,Ron Avi Astor,University of Southern California
2263,Feng Zhang,Broad Institute
2264,Jeremy Luban,University of Massachusetts Medical School
2265,Jonathan Ball,University of Nottingham
2266,Vincent Racaniello,Columbia University
2267,Diane Whitmore Schanzenbach,Northwestern University
2268,Sujay Kansagra,Duke University
2269,John Leshy,University of California Hastings College of Law
2270,John Ruple,University of Utah School of Law
2271,Paul Ryan,Trump University
2272,Adrian Muwonge,Roslin Institute at University of Edinburgh
2273,Adrian Muwonge,Roslin Institute at University of Edinburgh
2274,Christine Rivera,Cornell University
2275,Thomas Shafee,La Trobe University
2276,D. C. Trump,George Washington University
2277,Nicholas Bagley,University of Michigan
2278,Michael Cannon,Cato Institute
2279,Donald Trump,Electoral College
2280,Ellen Kreitzberg,Santa Clara University
2281,Jen Collinger,University of Pittsburgh
2282,Andrew Jackson,Institute of Neuroscience
2283,Donald Trump,Electoral College
2284,Angus Davison,University of Nottingham
2285,Chelsea Rochman,University of Toronto
2286,Chris Borick,Institute of Public Opinion
2287,Michael Roth,Wesleyan University
2288,Stephen Brusatte,University of Edinburgh
2289,George Washington,George Washington University
2290,George Washington,George Washington University
2291,Hillary Clinton,Electoral College
2292,Stewart Cole,Global Health Institute
2293,Rebecca Ryan,Georgetown University
2294,Heidi Feldman,Stanford University
2295,Rosa Brooks,Georgetown University
2296,Mark Pauly,University of Pennsylvania
2297,Stephen   ,Cornell University
2298,David Albright,Institute for Science and International Security
2299,Viktor Gruev,University of Illinois
2300,Carlos Diaz Rosillo,Harvard University
2301,Eduardo Padrón,Miami Dade College
2302,dietitian nutritionist,Boston University
2303,Donald Trump,Drexel University
2304,Ron Elving,Electoral College
2305,Donald Trump,Trump University
2306,Donald Trump,Trump University
2307,Kathleen Clark,Washington University
2308,Gina Turrigiano,Brandeis University
2309,Stephen Gillers,New York University Law School
2310,Saikrishna Prakash,University of Virginia
2311,Chris Edwards,Cato Institute
2312,Michael Katz,Urban Institute
2313,David Kang,Korea Studies Institute
2314,Daniel Clauw,University of Michigan
2315,Sean Gulick,University of Texas
2316,Eric Kirby,Oregon State University
2317,Jill Suitor,Purdue University
2318,Victoria Templer,Providence College
2319,Lee Hamilton,Indiana University Center on Representative Government
2320,Jorge Dominguez,Harvard University
2321,H. G. Wells,University of Illinois
2322,Jesse Richman,Old Dominion University
2323,Craig Stone,Ohio State University
2324,Atul Butte,Institute for Computational Health Sciences
2325,Philip Griffiths,Cornell University College of Agriculture and Life Science
2326,Philip Griffiths,Cornell University College of Agriculture and Life Science
2327,Ellen Bialystok,York University
2328,Antonella Sorace,University of Edinburgh
2329,Jennifer Steele,American University
2330,Antonella Sorace,University of Edinburgh
2331,Joel Voss,Northwestern University
2332,Mathematician Michael Tippett,Columbia University
2333,Steven Schooner,George Washington University Law School
2334,Kayla Iacovino,Arizona State University
2335,Brian Concannon,Institute for Justice and Democracy in Haiti
2336,Gary Thomas,University of Colorado
2337,Isaac Amanios,Los Angeles Harbor College
2338,David Bodanis,Oxford University
2339,Nian Wang,University of Florida
2340,Joann Fletcher,University of York
2341,Emmanuelle Charpentier,Max Planck Institute for Infection Biology
2342,Feng Zhang,Broad Institute
2343,Ole Mouritsen,University of Southern Denmark
2344,Erica Kahn,Brown University School of Engineering
2345,Audie Cornish,University of Denver
2346,David Vail,University of Nebraska
2347,John Hawks,University of Wisconsin
2348,John Glenn,Ohio State University
2349,Jakob Vinther,Bristol University
2350,Stephen James,Washington State University
2351,Philip Morgan,University of North Carolina
2352,Arun Hendi,Duke University
2353,Irma Elo,University of Pennsylvania
2354,Anne Case,Princeton University
2355,Ana Duggan,McMaster University
2356,Henrik Poinar,McMaster University
2357,Paul Keim,Northern Arizona University
2358,Penn State,State College
2359,Tecumseh Fitch,University of Vienna
2360,James Kim,Asan Institute for Policy Studies
2361,Helen Brooks,University of Manchester
2362,Silly Putty,Trinity College
2363,Hazel Barton,University of Akron
2364,Junia Howell,Rice University
2365,William Jack,Georgetown University
2366,Joe Schwieterman,DePaul University
2367,N. J.,Division of Hospital Medicine at Cooper University Health Care
2368,Rob Jackson,Stanford University
2369,Jeff Tomberlin,Texas AM University
2370,Ann Owen,Hamilton College
2371,Andrew Hammond,Imperial College London
2372,Lorelei Mucci,Harvard University
2373,George H. W. Bush,University of Michigan
2374,Kanani Lee,Yale University
2375,Larry DeBoer,Purdue University
2376,Melanie Smith,Institute for Strategic Dialogue
2377,Bernie Powers,College of Charleston
2378,Kirsten Pullen,Texas AM University
2379,Andrew Tabler,Washington Institute for Near East Policy
2380,Alexandra Minna Stern,University of Michigan
2381,Alexander Hamilton,Electoral College
2382,Alan Kostelecky,Indiana University
2383,Jeffrey Hangst,Aarhus University
2384,Robert J. Gordon,Northwestern University
2385,Andrea Soddu,University of Western Ontario
2386,Connie Mulligan,University of Florida
2387,Thomas McDade,Northwestern University
2388,Ira Longini,University of Florida
2389,Anthony Fauci,National Institutes of Health
2390,Jacqueline Stevens,Northwestern University
2391,Stephen Gillers,New York University Law School
2392,Jason Chapman,University of Exeter
2393,Rita Alloway,University of Cincinnati
2394,Bruce Karstadt,American Swedish Institute
2395,Kelly Jakubowski,Durham University
2396,Ted Merwin,Dickinson College
2397,Joshua Mezrich,University of Wisconsin Hospital
2398,Don Davis,Georgia State University
2399,Jeffrey Froh,Hofstra University
2400,David Axelrod,University of Chicago Institute of Politics
2401,Robert Hernandez,University of Southern California
2402,Hans Bisgaard,University of Copenhagen
2403,Maria Makrides,University of Adelaide
2404,Ellen Mozurkewich,University of New Mexico
2405,Marni Sommer,Columbia University
2406,Paul Montgomery,Oxford University
2407,Margie McHugh,Migration Policy Institute
2408,Karin Nielsen,University of California
2409,Camille Wortman,Stony Brook University
2410,Kirk Carapezza,College of the Holy Cross
2411,David Jewitt,University of California
2412,Richard Isaacson,Weill Cornell Medical College
2413,Suniya Luthar,Arizona State University
2414,Jianguo Liu,Michigan State University
2415,Richard Spencer,National Policy Institute
2416,Richard Painter,University of Minnesota
2417,Camila Dias,Federal University of ABC
2418,John Brennan,University of Chicago Institute of Politics
2419,Alan Watson,War College
2420,Robert Murphy,Boston College
2421,Donald Trump,Electoral College
2422,Douglas Muzzio,Baruch College
2423,Eric Goldman,Santa Clara University School of Law
2424,David Cutler,Harvard University
2425,Zha Daojiong,Peking University
2426,James Pearson,Basair Aviation College
2427,Raghuram Rajan,University of Chicago
2428,Kenneth Rogoff,Harvard University
2429,Richard Baldwin,Graduate Institute
2430,Kenneth Rogoff,Harvard University
2431,Jagjit Chadha,National Institute of Economic and Social Research
2432,Daniel Treisman,University of California
2433,Julian Zelizer,Princeton University
2434,Mark Lagon,Georgetown University
2435,Julian Zelizer,Princeton University
2436,Joe Antos,American Enterprise Institute
2437,Takeshi Minami,Norinchukin Research Institute
2438,Peter Spiro,Temple University Beasley School of Law
2439,Donald Trump,Columbia University
2440,Ralph Goodale,Quebec City University Hospital
2441,Marla Paul,Northwestern University
2442,Degan Shu,Northwest University
2443,Charles Elson,University of Delaware
2444,Mark Fitzpatrick,International Institute for Strategic
2445,Jerry Falwell Jr.,Liberty University
2446,Charles Elson,University of Delaware
2447,Al Tompkins,The Poynter Institute
2448,U. S.,American Petroleum Institute
2449,Jonathan Adler,a Case Western Reserve University School of Law
2450,Eugene Volokh,University of California in
2451,Jean Harris,University of Scranton
2452,Andrew Jackson,Yale College
2453,Joshua Hampson,War College
2454,Hidenobu Tokuda,Mizuho Research Institute
2455,Jens David Ohlin,Cornell University
2456,Michael McConnell,Stanford University Law School
2457,Stephen Vladeck,University of Texas
2458,Andrew Kent,Fordham University School of Law
2459,Kim Jong Nam,Dongguk University
2460,Raphael Ding,The Hong Kong Institute of Certified Public Accountants
2461,Jun Liu,Hefei University of Technology
2462,Mike Benton,University of Bristol
2463,Chris Organ,Montana State University
2464,Arthur Hellman,University of Pittsburgh School of Law
2465,Brian Klaas,War College
2466,Brian Klaas,Oxford University
2467,Stephen Vladeck,University of Texas
2468,Manuel Molano,Mexican Institute for Competitiveness
2469,Bruce Hoffman,Georgetown University
2470,Herbert Hovenkamp,University of Iowa College of Law
2471,Hidenobu Tokuda,Mizuho Research Institute
2472,Michael Gillon,University of Liege
2473,Amaury Triaud,University of Cambridge
2474,Zach Goldberg,College Board
2475,David Coleman,College Board
2476,Nelson Wiseman,University of Toronto
2477,Darnell Hunt,University of California Los Angeles
2478,Tim Calkins,Northwestern University
2479,Hidenobu Tokuda,Mizuho Research Institute
2480,John Geer,Vanderbilt University
2481,Randy Capps,Migration Policy Institute
2482,Randy Capps,Migration Policy Institute
2483,Pauline Kaurin,War College
2484,U. S.,University of Oregon
2485,U. S.,American Petroleum Institute
2486,John Delury,Yonsei University
2487,Amneet Sandhu,University of Colorado
2488,Hidenobu Tokuda,Mizuho Research Institute
2489,Jon Faust,Johns Hopkins University
2490,Jim Friedlich,Lenfest Institute for Journalism
2491,Cas Muddle,University of Georgia
2492,Mabel Berezin,Cornell University
2493,Mabel Berezin,Cornell University
2494,Paul Brest,Stanford University
2495,Tyson Barker,Aspen Institute
2496,Cary Coglianese,University of Pennsylvania
2497,Jack Gerard,American Petroleum Institute
2498,Tim Weiner,War College
2499,U. S.,North American Meat Institute
2500,Diana Moss,American Antitrust Institute
2501,Tom Wong,University of California San Diego
2502,Donald Trump,Trump University
2503,Ben Kesling,War College
2504,Li Zhonglin,College of Economics and Management
2505,Yi Xianrong,Qingdao University
2506,Etsuro Honda,Columbia University
2507,Paul Ohm,Georgetown University
2508,Markku Jokisipila,University of Turku
2509,Andrew Tabler,Washington Institute for Near East Policy
2510,Sarah Binder,George Washington University
2511,Lori Ringhand,University of Georgia School of Law
2512,Richard Painter,University of Minnesota
2513,Charles Elson,University of Delaware
2514,Bruce Cannon Gibney,War College
2515,Hidenobu Tokuda,Mizuho Research Institute
2516,Kevin Limonier,University of Paris VIII
2517,Philip Howard,Oxford Institute
2518,Hidenobu Tokuda,Mizuho Research Institute
2519,Thomas Park,University of Illinois at Chicago
2520,Charles Hurburgh,Iowa State University
2521,Stephen   ,Cornell University Law School
2522,Jeromin Zettelmeyer,Peterson Institute for International Economics
2523,Charles Elson,University of Delaware
2524,U. S.,The American Petroleum Institute
2525,Ryan Hanson,Idaho State University
2526,David Smilde,Tulane University
2527,Malcolm Cook,Institute of Southeast Asian Studies
2528,Thitinan Pongsudhirak,Institute of Security and International Studies
2529,Mike Rogers,Harvard University
2530,Luang Prabang,Naresuan University
2531,Elaine Chao,Milken Institute
2532,Robin Fretwell Wilson,University of Illinois College of Law
2533,Daniel Trotta,University of Illinois College of Law
2534,John Taylor,Stanford University
2535,Kevin Warsh,Stanford University
2536,Sam Erman,University of Southern California
2537,Mohamed Hamza,Cairo University
2538,Joseph Trevithick,War College
2539,Takeshi Minami,Norinchukin Research Institute
2540,Richard Clayton,University of Cambridge
2541,Neil Weissman,Dickinson College
2542,Andrea Pietrzyk,State College
2543,Ross Anderson,University of Cambridge
2544,Rafael Mafei,University of Sao Paulo
2545,Michael Elleman,International Institute for Strategic Studies
2546,Jeffrey Lewis,Middlebury Institute of International Studies
2547,U. S.,Asia Society Policy Institute
2548,Paul Janicke,University of Houston Law Center
2549,Takeshi Minami,Norinchukin Research Institute
2550,Mark Zuckerberg,Harvard University
2551,Scott Bolton,Southwest Research Institute
2552,Ilya Somin,George Mason University
2553,Stephen Vladeck,University of Texas School of Law
2554,John Curtice,University of Strathclyde
2555,Jocelyn Stacey,University of British Columbia
2556,Barack Obama,George Mason University
2557,Oren Etzioni,Allen Institute for Artificial Intelligence
2558,Stephen Breyer,Harvard University
2559,Koichi Nakano,Sophia University
2560,Aviva Orenstein,Indiana University
2561,David Harris,University of Pittsburgh
2562,Micah Schwartzman,University of Virginia School of Law
2563,Víctor Huertas,James Cook University
2564,David Bellwood,James Cook University
2565,Eric Goldman,Santa Clara University
2566,@POTUS Twitter,The Knight Institute
2567,Berkeley Kaite,McGill University
2568,Kathleen Clark,Washington University School of law
2569,Kailash Sahu,Space Telescope Science Institute
2570,Terry Oswalt,Aeronautical University
2571,Matt Blaze,University of Pennsylvania
2572,Alex Halderman,University of Michigan
2573,Stephen Martin,Institute of Directors
2574,Laura Donohue,Georgetown University Law Center
2575,Laura Donohue,Georgetown University Law Center
2576,Jonathan Turley,George Washington University Law School
2577,Steve Jobs,Stanford University
2578,Marvin Goodfriend,Carnegie Mellon University
2579,Scott Walker,Waukesha County Technical College
2580,Jason Middleton,University of New South Wales
2581,Stephen Vladeck,University of Texas School of Law
2582,Derek Muller,Pepperdine University School of Law
2583,Robert Siegel,Stanford University
2584,Daniel Medwed,Northeastern University
2585,Jared Kushner,Massachusetts Institute of Technology
2586,Arti Rai,Duke University
2587,Charles Lister,Middle East Institute
2588,Jennifer Cafarella,Institute for Study of War
2589,Wesley Oliver,Duquesne University
2590,David Harris,University of Pittsburgh
2591,Otto Warmbier,University of Virginia
2592,U. S.,American Petroleum Institute
2593,Herb Hovenkamp,University of Pennsylvania
2594,Gregory Gause,Texas A&M University
2595,Lawrence Hurley,George Mason University
2596,U. S.,American Petroleum Institute
2597,Stephen Vladeck,University of Texas School of Law
2598,Akihiko Noda,Mizuho Research Institute
2599,Michael Bindas,Institute for Justice
2600,Jennifer Grygiel,Syracuse University
2601,Koichi Nakano,Sophia University
2602,Norma Costello,War College
2603,Drew Houston,Massachusetts Institute of Technology
2604,Michael Lemmon,University of Utah
2605,Angela Stent,Georgetown University
2606,Alan Krueger,Princeton University
2607,James Jacobs,New York University
2608,John Donohue,Stanford University
2609,John Taylor,Stanford University
2610,Lisa Heinzerling,Georgetown University
2611,Ann McKee,Boston University
2612,James Noble,Columbia University Medical Center
2613,Andrea Constand,Temple University
2614,Zhuang Duanyang,Dalian University of Technology
2615,Charles Collyns,Institute of International Finance
2616,Jeffrey Park,Yale University
2617,Arthur Brooks,American Enterprise Institute
2618,Nicholas Weaver,International Computer Science Institute
2619,Elizabeth Nash,Guttmacher Institute
2620,Andrew McAfee,Massachusetts Institute of Technology
2621,Richard Spencer,National Policy Institute
2622,Andrew Zimbalist,Smith College
2623,Victor Matheson,College of the Holy Cross
2624,Dominic Chirichella,Energy Management Institute
2625,Dominic Chirichella,Energy Management Institute
2626,Jimmy Gurule,University of Notre Dame
2627,Sean Collier,Massachusetts Institute of Technology
2628,Robyn Greene,Open Technology Institute
2629,Roger Noll,Stanford University
2630,Andrew Zimbalist,Smith College
2631,Donald Trump,Liberty University
2632,Taufik Andrie,Institute for International Peacebuilding
2633,U. S.,American Petroleum Institute
2634,Hidenobu Tokuda,Mizuho Research Institute
2635,Marisa Kritikson,George Washington University
2636,Erik Gordon,University of Michigan
2637,Prem Sikka,Essex University
2638,Francis Collins,National Institutes of Health
2639,Kathryn Edwards,Vanderbilt University
2640,Dominick Chirichella,Energy Management Institute
2641,To Tim Duy,University of Oregon
2642,Scott Talan,American University
2643,U. S.,The U. S. Institute for Supply Management
2644,Anne Poulin,Villanova University
2645,Wesley Oliver,Duquesne University
2646,Judy Ritter,Widener University
2647,Erin Batchelder,Smith College
2648,Sal Umek,Energy Management Institute
2649,Ben Neuman,University of Reading
2650,Haley O’Brien,Ohio University
2651,Kirsten Jenkins,University of Minnesota
2652,Douglass Cassel,University of Notre Dame
2653,Hon Hai,Kyushu Sangyo University
2654,U. S.,U. S. National Institute of Allergy and Infectious Diseases
2655,Patrick Murray,Monmouth University
2656,David Reitze,California Institute of Technology
2657,Gabriela Gonzalez,Louisiana State University
2658,Matthew Evans,Massachusetts Institute of Technology
2659,Carlos Lousto,Rochester Institute of Technology
2660,Tom McLeish,Durham University
2661,Bob Faris,University of   
2662,Tim Duy,University of Oregon
2663,Rory Medcalf,National Security College
2664,Sergi Castellano,Max Planck Institute for Evolutionary Anthropology
2665,Dr Kun Guo,University of Lincoln
2666,Takeshi Minami,Norinchukin Research Institute
2667,Thomas Groome,Boston College Center
2668,Gerald Rosenberg,University of Chicago Law School
2669,U. S.,DIW economic institute
2670,Hidenobu Tokuda,Mizuho Research Institute
2671,Peter Carstensen,University of Wisconsin Law School
2672,Changjiang Dong,University of East Anglia
2673,Bill Gilmer,University of Houston
2674,SENTIMENT STEADY Separately,University of Michigan
2675,Frederic Mishkin,Columbia University
2676,Amir Sufi,Columbia University
2677,Ben Dworkin,Rebovich Institute for New Jersey Politics
2678,Marc Pfeiffer,Rutgers University
2679,Jeff Mason,Economic Policy Institute
2680,Otto Warmbier,University of Virginia
2681,Hannah Friedman,George Washington University
2682,Michael Brennan,University of Southern California
2683,Gerry Kavanaugh,University of Massachusetts
2684,Steve Levitsky,Harvard University
2685,Fred Eshelman,University of North Carolina
2686,John Geer,Vanderbilt University
2687,Mark Gomez,University of Miami
2688,Daniel Garza,LIBRE Institute
2689,Yang Haiyang,Southwestern University of Finance and Economics
2690,Jeffrey Lewis,Middlebury Institute of International Studies
2691,Mary Cummings,Duke University
2692,William McKinnon,Washington University
2693,Joshua Akey,University of Washington
2694,D. Andrew Merriwether,Binghamton University
2695,U. S.,Energy Management Institute
2696,John MacKerron,Towson University
2697,Orin Kerr,George Washington University
2698,J. Craig Venter,J. Craig Venter Institute
2699,Stacie Dusetzina,University of North Carolina Chapel Hill
2700,Nozomu Yoshitomi,Nihon University
2701,Elizabeth Zechmeister,Vanderbilt University
2702,Kyle Kondik,University of Virginia Center for Politics
2703,Farah Foley,Wilson College
2704,Anat Admati,Stanford University
2705,Philip Clarke,University of Melbourne
2706,Sandra Babcock,Cornell University
2707,Jonathan Kotler,University of Southern California
2708,Kevin Bankston,Open Technology Institute
2709,Sheldon Goldman,University of Massachusetts
2710,U. S.,U. S. National Institute of Allergy and Infectious Diseases
2711,Charles Elson,University of Delaware
2712,Paul Ryan,National Institutes of Health
2713,Patrick Gallagher,University of Pittsburgh
2714,Herbert Lin,National Institute of Standards and Technology
2715,Roberta Rampton,Nevada Cancer Institute
2716,Adam Posen,Peterson Institute for International Economics
2717,Holly Swanson,@StateCollegeMom
2718,Dominick Chirichella,Energy Management Institute
2719,Enrico Baraldi,Uppsala University
2720,Anna Jonsson,Lund University
2721,Liesl Riddle,George Washington University
2722,Sarah Kreps,Cornell University
2723,Kristi Curry Rogers,Macalester College
2724,Michael D’Emic,Adelphi University
2725,Jeffrey Lewis,Middlebury Institute of International Studies
2726,Zach Goldberg,College Board
2727,Bai Jie,Tongji University
2728,Wang Yanmin,Beijing Normal University
2729,Bob Knight,Indiana University
2730,Frederick Askari,University of Michigan
2731,Jerry Yang,Stanford University
2732,Bobby Knight,Indiana University
2733,Hidenobu Tokuda,Mizuho Research Institute
2734,Karen Meech,University of Hawaii
2735,Jodi Okun,College Financial Aid Advisors
2736,Thomas Clarke,Key University Research Centre for Corporate Governance
2737,Michael Gillon,University of Liege
2738,James Angel,Georgetown University
2739,Margaret Spellings,University of North Carolina
2740,Alan Abramowitz,Emory University
2741,Elise Gould,Economic Policy Institute
2742,Earl Parreno,Institute for Political and Electoral Reforms
2743,Barack Obama,The Urban Institute
2744,Takatoshi Ito,Columbia University
2745,John Reese Roth,University of Tennessee
2746,Alan Schroeder,Northeastern University
2747,Julie   ,University of Massachusetts
2748,Hotel Lotte,Hansung University
2749,Lawrence Hamermesh,Widener University School of Law
2750,David Smilde,Tulane University
2751,Jeffrey Lewis,Middlebury Institute of International Studies
2752,Abigail Fisher,University of Texas
2753,Hany Farid,Dartmouth College
2754,Brandon Rottinghaus,University of Houston
2755,Lawrence Brown,Morgan State University
2756,Katherine Haenschen,University of Texas
2757,Anthony Fauci,U. S. institute
2758,Otto Warmbier,University of Virginia
2759,Clemence Pinaud,Indiana University
2760,Peter Navarro,University of California Irvine
2761,John Minster,DePaul University
2762,Paul Romer,New York University
2763,Samuel Greene,Russia Institute
2764,Mark Galeotti,Institute of International Relations Prague
2765,Erik Gordon,University of Michigan Ross School of Business
2766,Aaron MacNeil,Australian Institute of Marine Science
2767,Esther Solano,Federal University of Sao Paulo
2768,John Lamm,Revs Institute
2769,Jeffrey Lewis,Middlebury Institute of International Studies
2770,Craig Futterman,University of Chicago
2771,Paulo Okamoto,Lula Institute
2772,Tahmid Hasib Khan,Toronto University
2773,Christopher Sims,Princeton University
2774,Zach Goldberg,College Board
2775,Peter Schwartz,College Board
2776,Jeremy Stein,Harvard University
2777,U. S.,Peterson Institute
2778,Allen Nutman,University of Wollongong
2779,Martin Van Kranendonk,University of New South Wales
2780,Abigail Allwood,California Institute of Technology
2781,Thomas Jaeger,Cologne University
2782,Erik Gordon,University of Michigan Ross School of Business
2783,Steven Simpson,University of Kansas
2784,Jeffrey Lewis,Middlebury Institute of International Studies
2785,Diana Moss,American Antitrust Institute
2786,Chris Brummer,Georgetown University
2787,Oren Cass,Manhattan Institute
2788,Hidenobu Tokuda,Mizuho Research Institute
2789,Jeffrey Sachs,Columbia University
2790,Ken Hersh,Bush Institute
2791,Susan Schwab,Bush Institute
2792,David Coleman,College Board
2793,Judi Robinovitz,National Association for College Admission Counseling
2794,Donald Green,Columbia University
2795,Thomas Lippman,Middle East Institute
2796,Csaba Toth,Republikon Institute
2797,Hidenobu Tokuda,Mizuho Research Institute
2798,Edward Snowden,Georgetown University
2799,James Gibson,University of Richmond School of Law
2800,Dan Smith,Stockholm International Peace Research Institute
2801,Bella DePaulo,University of Virginia
2802,Michael McDonald,University of Florida
2803,Nancy Rapoport,University of Nevada
2804,Jane Kirtley,University of Minnesota Law School
2805,Naotaka Kimizuka,Kanto Gakuin University
2806,Akira Momochi,Nihon University
2807,Neil Levesque,New Hampshire Institute of Politics
2808,Sylvia He,Institute of Future Cities
2809,Lonna Atkeson,University of New Mexico
2810,Ted Sarandos,Institute on Entertainment Law and Business
2811,Christopher Uggen,University of Minnesota
2812,Erik Gordon,University of Michigan
2813,Maggie Hassan,University of New Hampshire
2814,Larry Jacobs,University of Minnesota
2815,Justin Levitt,Loyola University
2816,Robert Murphy,Boston College
2817,Baker Hughes,University of Houston
2818,Eric Kasper,University of   
2819,Philip Stinson,Bowling Green State University
2820,Stephen Vladeck,University of Texas School of Law
2821,Gloria Totten,Public Leadership Institute
2822,Jason Middleton,University of New South Wales
2823,Zach Goldberg,College Board
2824,Rajnandini Pillai,California State University
2825,Brad Crabtree,Great Plains Institute
2826,Rick Hasen,University of California at Irvine
2827,Stuart Green,Rutgers University
2828,Elizabeth Burch,University of Georgia Law School
2829,Marc Baluda,Cleveland State University
2830,Donald Trump,Electoral College
2831,Mitt Romney,Harvard University
2832,Susan MacManus,University of South Florida
2833,Donald Trump,Trump University
2834,Peter Navarro,University of California at Irvine
2835,Glenn Hubbard,Columbia University
2836,Antonin Scalia,George Mason University
2837,Mordecai Lee,University of  
2838,U. S.,Stanford University
2839,Donald Trump,University of Pennsylvania
2840,Amy Gutmann,University of Pennsylvania
2841,David Boren,University of Oklahoma
2842,Hidenobu Tokuda,Mizuho Research Institute
2843,Hisashi Yamada,Japan Research Institute
2844,Yoshinori Kawamura,Waseda University
2845,Norman Ornstein,American Enterprise Institute
2846,Francis Nimmo,University of California
2847,Richard Binzel,Massachusetts Institute of Technology
2848,Steve Gunderson,Career Education Colleges
2849,Erik Gordon,University of Michigan
2850,Jingdong Yuan,Sydney University
2851,Colin Humphreys,Cambridge University
2852,Richard Painter,University of Minnesota
2853,Ross Eisenbrey,Economic Policy Institute
2854,p. m. EST,American Petroleum Institute
2855,Takeshi Minami,Norinchukin Research Institute
2856,Jimmy Carter,Havana University
2857,Craig Stone,Ohio State University
